index	alt	CO	O	CO2	O2
247	122.29999999999872	494224468.87566036	635989242.2156718	83465460368.9175	99455081.414
248	122.39999999999873	490492181.48245287	631733869.9728358	82697695125.02219	98754499.11
249	122.44	488626037.7858491	627478497.73	81929929881.12688	98053916.80600001
250	122.49999999999872	486759894.0892453	624685818.5055556	81162164637.23157	97353334.502
251	122.59999999999872	483027606.69603777	621893139.2811111	80394399393.33624	96652752.198
252	122.69999999999872	479295319.30283016	619100460.0566669	79626634149.44092	95952169.894
253	122.7999999999987	475563031.90962267	616307780.8322222	78858868905.54562	95251587.59
254	122.8999999999987	471830744.5164151	613515101.6077777	78091103661.65031	94551005.286
255	122.99999999999868	468098457.1232076	610722422.3833332	77323338417.755	93850422.98200001
256	123.04	464366169.73	607929743.1588888	76555573173.85968	93149840.67799999
257	123.09999999999869	461164977.6047223	605137063.9344443	75787807929.96437	92449258.374
258	123.19999999999868	457963785.4794445	602344384.71	75020042686.06906	91748676.07
259	123.29999999999869	454762593.3541667	599551705.4855554	74252277442.17375	91048093.766
260	123.39999999999868	451561401.22888887	596759026.2611111	73484512198.27844	90347511.46200001
261	123.49999999999866	448360209.1036111	593966347.0366666	72716746954.38312	89646929.15799999
262	123.59999999999866	445159016.97833335	591173667.8122222	71948981710.48781	88946346.854
263	123.69999999999865	441957824.85305566	588380988.5877777	71181216466.5925	88245764.55
264	123.79999999999865	438756632.72777784	585588309.3633332	70413451222.69719	87545182.24599999
265	123.89999999999864	435555440.6025	582795630.1388887	69645685978.80188	86844599.942
266	123.99999999999865	432354248.4772223	580002950.9144443	68877920734.90656	86144017.638
267	124.09999999999864	429153056.3519445	577210271.69	68110155491.01125	85443435.33399999
268	124.19999999999862	425951864.2266667	574417592.4655554	67342390247.11594	84742853.03
269	124.29999999999863	422750672.1013889	571624913.2411113	66574625003.22063	84042270.72600001
270	124.39999999999858	419549479.9761111	568832234.0166668	65806859759.325325	83341688.42199999
271	124.42	417948883.9134722	567435894.4044446	65039094515.43	82641106.118
272	124.4999999999986	416348287.85083336	566039554.7922223	64481862891.07906	81940523.814
273	124.59999999999859	413147095.7255556	563246875.5677778	63924631266.72813	81239941.50999999
274	124.69999999999858	409945903.60027784	560454196.3433334	63367399642.37719	80539359.206
275	124.79999999999859	406744711.475	557661517.1188889	62810168018.02625	79838776.902
276	124.89999999999857	403543519.3497223	554868837.8944446	62252936393.675316	79138194.59799999
277	124.99999999999856	400342327.2244445	552076158.67	61695704769.32437	78437612.294
278	125.09999999999857	397141135.0991667	549283479.4455557	61138473144.973434	77737029.99
279	125.19999999999857	393939942.9738889	546490800.221111	60581241520.6225	77036447.686
280	125.29999999999858	390738750.8486111	543698120.9966667	60024009896.27156	76335865.382
281	125.39999999999857	387537558.72333336	540905441.7722223	59466778271.92062	75635283.07800001
282	125.49999999999856	384336366.5980556	538112762.5477779	58909546647.56969	74934700.77399999
283	125.54	382735770.5354167	536716422.93555564	58630930835.394226	74234118.47
284	125.59999999999854	381135174.47277784	535320083.3233333	58352315023.21875	73737984.23780487
285	125.69999999999855	377933982.3475	532527404.0988889	57795083398.86781	73241850.00560975
286	125.79999999999852	374732790.22222215	529734724.87444437	57237851774.51688	72745715.77341463
287	125.89999999999851	371531598.09694445	526942045.65	56680620150.16594	72249581.54121952
288	125.99999999999851	368330405.9716667	524149366.42555547	56123388525.815	71753447.30902441
289	126.09999999999852	365129213.84638894	521356687.20111114	55566156901.46407	71257313.07682927
290	126.19999999999851	361928021.7211111	518564007.9766667	55008925277.11312	70761178.84463415
291	126.29999999999849	358726829.59583336	515771328.7522222	54451693652.76218	70265044.61243902
